Unique Skills,course_title,course_url
building materials,Fundamentals of Materials Science,https://www.coursera.org/learn/fundamentals-of-materials-science
building operations,Introduction to Operations Management,https://www.coursera.org/learn/wharton-operations
building science,Materials Science: 10 Things Every Engineer Should Know,https://www.coursera.org/learn/materials-science
business ICT systems,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
business acumen,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
business administration,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
business analysis,Certified Business Analysis Professional™ (CBAP®),https://www.coursera.org/specializations/certified-business-analysis-professional-cbap
business analytics,Business Analytics,https://www.coursera.org/specializations/business-analytics
business case development,Create Compelling Business Cases,https://www.coursera.org/learn/create-compelling-business-cases
business continuity,Business Continuity and Disaster Recovery,https://www.coursera.org/learn/packt-business-continuity-and-disaster-recovery-pmyzk
business development,Relationship Management and Business Development,https://www.coursera.org/learn/relationship-management-and-business-development
business diligence,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
business engagement,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
business engineering,IBM Business Analyst,https://www.coursera.org/professional-certificates/ibm-business-analyst-professional-certificate
business expansion,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
business growth,Business Growth Strategy,https://www.coursera.org/learn/uva-darden-business-growth-strategy
business initiatives,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
business intelligence,Google Business Intelligence,https://www.coursera.org/professional-certificates/google-business-intelligence
business management,Foundations of Management,https://www.coursera.org/specializations/foundations-management
business office,Master Microsoft Office 365 and Power Platform,https://www.coursera.org/specializations/master-microsoft-office-365-power-platform
business operation,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
business operations,Operations and Process Management,https://www.coursera.org/learn/illinois-tech-operations-process-management
business planning development,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
business process,Business Process Modelling,https://www.coursera.org/learn/business-process-modelling
business requirements,Business Foundations,https://www.coursera.org/specializations/wharton-business-foundations
business sales,Salesforce Sales Operations,https://www.coursera.org/professional-certificates/salesforce-sales-operations
